step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
107,3835.6869470369516,0.037874074900885166,4,0,438,6884.597812995013,1,1.0
108,3860.527590492045,0.037955072672245765,4,0,438,6933.792496922486,1,1.0
109,3882.4698759437133,0.03788553458807178,4,0,438,6982.9381865131645,1,1.0
110,3907.352403885166,0.037887630498120196,4,0,438,7032.034930961727,1,1.0
111,3931.0053348532,0.03829746772076167,4,0,438,7081.082779413867,1,1.0
112,3952.803640824576,0.03819140845623288,4,0,438,7130.081780966329,1,1.0
113,3976.5072973937204,0.038141016591496185,4,0,438,7179.031984666958,1,1.0
114,4001.217670610243,0.037957618002201966,4,0,438,7227.933439514758,1,1.0
115,4021.8851378613213,0.03768013660432434,4,0,438,7276.786194459935,1,1.0
116,4051.387010993166,0.03776815690233875,4,0,438,7325.590298403939,1,1.0
117,4075.8892246144324,0.0374639951689361,4,0,438,7374.345800199528,1,1.0
118,4102.398435564971,0.03747444579411481,4,0,438,7423.052748650806,1,1.0
119,4125.860321912315,0.03751878114025586,4,0,438,7471.711192513271,1,1.0
120,4144.202724790003,0.03737666530199371,4,0,438,7520.321180493879,1,1.0
121,4167.5709480369815,0.03721108018353979,4,0,438,7568.882761251067,1,1.0
122,4189.911315882207,0.03688773243405171,4,0,438,7617.3959833948265,1,1.0
123,4213.179777523173,0.03665558274193377,4,0,438,7665.860895486734,1,1.0
124,4234.3984590252585,0.03635392509835247,4,0,438,7714.277546040018,1,1.0
125,4258.557305324183,0.03609896131008668,4,0,438,7762.6459835195865,1,1.0
126,4272.688689369951,0.035833801920691376,4,0,438,7810.966256342091,1,1.0
127,4293.7290189626,0.035545975757857666,4,0,438,7859.238412875969,1,1.0
128,4310.715361056678,0.035482166706986576,4,0,438,7907.462501441491,1,1.0
129,4330.622604412881,0.03542728194560953,4,0,438,7955.638570310819,1,1.0
130,4349.528280501564,0.03544649723634629,4,0,438,8003.766667708036,1,1.0
131,4368.428582622058,0.035006927611814495,4,0,438,8051.846841809214,1,1.0
132,4386.2470042938085,0.03480202509052921,4,0,438,8099.87914074245,1,1.0
